"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @xtcollegebb: #college #basketball Mason of Kansas, Plum of Washington win Wooden Awards https://t.co/2eF2e3fDjj",FALSE,0,NA,2017-04-08 03:52:59,FALSE,NA,"850557057803669504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mcclambchops",1,TRUE,FALSE,NA,NA
"2","#NBA 2005-06 #LeBronJames #Topps CHROME #102 CAVALIERS #Basketball #Card https://t.co/SIGTqGgGc6 #AllStar https://t.co/7PDaCJLKBQ",FALSE,0,NA,2017-04-08 03:52:36,FALSE,NA,"850556959744868352",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","AdelliaOrozco",0,FALSE,FALSE,NA,NA
"3","Why the Raptors didn’ https://t.co/5WyB019qlE #NBA, #Basketball, #Canadian basketball, #Toronto Raptors, #Raptors, https://t.co/y8nfb3LezW",FALSE,0,NA,2017-04-08 03:51:31,FALSE,NA,"850556686033092608",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","punchlinetoo",0,FALSE,FALSE,NA,NA
"4","Count it! Derrick Jones Jr. beats the buzzer on NBATV https://t.co/eaF5QoXPQF #NBA #Basketball",FALSE,0,NA,2017-04-08 03:51:23,FALSE,NA,"850556653900640256",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SportsTreasury",0,FALSE,FALSE,NA,NA
"5","How'd that go in!? https://t.co/qiHZirquAe #NBA #Basketball",FALSE,0,NA,2017-04-08 03:51:23,FALSE,NA,"850556651757240322",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SportsTreasury",0,FALSE,FALSE,NA,NA
"6","#AllStar 2014-15 Prestige Bonus Shots DeMarcus Cousins 2 Color Patch 23/25 Kings Pelicans https://t.co/JujpHByzWD… https://t.co/6Y7XMr7SfH",FALSE,0,NA,2017-04-08 03:51:13,TRUE,NA,"850556612766978048",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","AdelliaOrozco",0,FALSE,FALSE,NA,NA
"7","#AllStars #LeBronJames 2003 UD UPPER DECK HONOR ROLL GOLD RC ROOKIE #24/25 (712) https://t.co/BmgD0Sd7Dl #Basketball https://t.co/WZPJ5bNM76",FALSE,0,NA,2017-04-08 03:51:11,FALSE,NA,"850556603061239809",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","AdelliaOrozco",0,FALSE,FALSE,NA,NA
"8","#AllStar 2015-16 Panini Complete Silver #DwyaneWade Miami Heat #61 https://t.co/tDzdISugLA #Basketball https://t.co/dN3AOzvoOJ",FALSE,0,NA,2017-04-08 03:51:09,FALSE,NA,"850556593426923521",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","AdelliaOrozco",0,FALSE,FALSE,NA,NA
"9","TIX #Ticket: DALLAS #Mavericks 1st SEASON OCTOBER 21, 1980 FULL #Tickets @ PHOENIX SUNS #2 https://t.co/uEyoSlEb8B… https://t.co/hAhXKBe5v1",FALSE,0,NA,2017-04-08 03:50:10,TRUE,NA,"850556347149975552",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","AlicaWhitelaw",0,FALSE,FALSE,NA,NA
"10","#NBA San Antonio #Spurs Forward Kawhi Leonard #2 Fiesta Medal 2017 https://t.co/9PUoRWJYar #BasketBall https://t.co/81qIS4VkIK",FALSE,0,NA,2017-04-08 03:50:09,FALSE,NA,"850556345350619136",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Veronica_Youngs",0,FALSE,FALSE,NA,NA
