"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Janetpura (Jagraon) Volleyball Tournament 6 April 2017 by https://t.co/T1KT0d3vEq https://t.co/MV7v3QgqGQ #volleyball",FALSE,0,NA,2017-04-08 16:09:08,FALSE,NA,"850742314519732225",NA,"<a href=""http://www.govideos.com"" rel=""nofollow"">GoVolleyballVid</a>","GoVolleyballVid",0,FALSE,FALSE,NA,NA
"2","Throwback to 2007 Heat U14 Team. #throwback #volleyball #surrey #heat #inspiration #motivation‚Ä¶ https://t.co/ctjKCszq7M",FALSE,0,NA,2017-04-08 16:05:13,FALSE,NA,"850741328849891328",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","coach_wildman",0,FALSE,FALSE,NA,NA
"3","16/17 #Qatar_Cup - Final - 1st Set:
@AlArabi_Club 1 X @AlRayyanSC 0 (25/21)
Live Streaming: https://t.co/L6lSGKv4Xu
#Qatar #Volleyball",FALSE,0,NA,2017-04-08 16:00:11,FALSE,NA,"850740063952621568",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","QatarVolleyball",2,FALSE,FALSE,NA,NA
"4","Great #showmequalifer in KC. Stop by our booth to see how we can help your players. @ExtremeMavs @Premier_VB‚Ä¶ https://t.co/lMKIMy7Gqr",FALSE,0,NA,2017-04-08 15:56:14,TRUE,NA,"850739070275813377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","goMedZone",0,FALSE,FALSE,NA,NA
"5","RT @MakeAFootprint: Please take a look at our #nonprofit, we need help supporting these young #women #Panama #volleyball #Indigenous https:‚Ä¶",FALSE,0,NA,2017-04-08 15:55:36,FALSE,NA,"850738910749540352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MakeAFootprint",1,TRUE,FALSE,NA,NA
"6","Sportparadise  @ Holiday Headquarters https://t.co/f9qO8zqtKS
#baseball #football #volleyball #soccer #lacrosse‚Ä¶ https://t.co/YZjl37YWCk",FALSE,0,NA,2017-04-08 15:53:18,TRUE,NA,"850738328068554753",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","sportparadise",0,FALSE,FALSE,NA,NA
"7","RT @WofVOLLEY: .@volleyzenit set new #volleyball record in Russia, but they are not the only perfect team in competition history https://t.‚Ä¶",FALSE,0,NA,2017-04-08 15:49:44,FALSE,NA,"850737431158632448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maui_makai",2,TRUE,FALSE,NA,NA
"8","Hi im not a player. Just an amateur. Ì†ΩÌ∏∂

#imusteam
#volleyballgirls #playersofvolley #volleyball‚Ä¶ https://t.co/jCyilBtrG9",FALSE,0,NA,2017-04-08 15:49:38,FALSE,NA,"850737408756920320",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","143bianx",0,FALSE,FALSE,"120.9325966","14.33152425"
"9","Excuses are like loses. Everyone has them... except for the champions. #Volleyball",FALSE,0,NA,2017-04-08 15:49:33,FALSE,NA,"850737387244335107",NA,"<a href=""http://www.financialmarketsexplained.com"" rel=""nofollow"">ForexTricks</a>","VolleyballGuide",0,FALSE,FALSE,NA,NA
"10","RT @WofVOLLEY: .@volleyzenit set new #volleyball record in Russia, but they are not the only perfect team in competition history https://t.‚Ä¶",FALSE,0,NA,2017-04-08 15:49:28,FALSE,NA,"850737367455498241",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itslunaxxx",2,TRUE,FALSE,NA,NA
"11","Franky v. Ron 
#ClubSport #Volleyball @ Upham Beach - Saint Pete Beach, Florida https://t.co/3sEPmkQHEN",FALSE,0,NA,2017-04-08 15:49:24,FALSE,NA,"850737350661607424",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JodiMcLean",0,FALSE,FALSE,"-82.75167616","27.7359225"
"12","How to Protect Your Fingers | Volleyball Lessons https://t.co/X2Lo6UsrtM #volleyball",FALSE,0,NA,2017-04-08 15:48:43,FALSE,NA,"850737175792676866",NA,"<a href=""http://www.govideos.com"" rel=""nofollow"">GoVolleyballVid</a>","GoVolleyballVid",0,FALSE,FALSE,NA,NA
"13","RT @CEVolleyballCL: A real #Volleyball defence party for @BRVolleys! #CLVolleyM https://t.co/yZuYe3BpDX",FALSE,0,NA,2017-04-08 15:48:15,FALSE,NA,"850737059903922180",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ceesawzeen",18,TRUE,FALSE,NA,NA
